token,company,symbol,tsym,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
163,APOLLO TYRES LTD,APOLLOTYRE,APOLLOTYRE-EQ,Ok,02-08-2023 09:15:00,1690947900,425.35,428.60,423.05,426.55,426.31,116192,0,116192,0
14418,ASTRAL LIMITED,ASTRAL,ASTRAL-EQ,Ok,02-08-2023 09:15:00,1690947900,2006.95,2009.40,1966.00,1982.70,1979.78,69442,0,69442,0
30108,ADITYA BIRLA FASHION & RT,ABFRL,ABFRL-EQ,Ok,02-08-2023 09:15:00,1690947900,220.50,220.85,219.40,219.45,220.06,124570,0,124570,0
11703,ALKEM LABORATORIES LTD.,ALKEM,ALKEM-EQ,Ok,02-08-2023 09:15:00,1690947900,3971.05,3973.50,3943.00,3954.65,3960.31,4329,0,4329,0
7,AARTI INDUSTRIES LTD,AARTIIND,AARTIIND-EQ,Ok,02-08-2023 09:15:00,1690947900,479.75,480.90,475.90,476.00,478.22,308085,0,308085,0
13,ABB INDIA LIMITED,ABB,ABB-EQ,Ok,02-08-2023 09:15:00,1690947900,4510.00,4550.00,4481.10,4543.90,4534.82,15765,0,15765,0
383,BHARAT ELECTRONICS LTD,BEL,BEL-EQ,Ok,02-08-2023 09:15:00,1690947900,130.40,130.65,129.25,129.70,129.76,1116874,0,1116874,0
21238,AU SMALL FINANCE BANK LTD,AUBANK,AUBANK-EQ,Ok,02-08-2023 09:15:00,1690947900,722.00,722.00,715.30,717.35,717.48,132597,0,132597,0
5900,AXIS BANK LIMITED,AXISBANK,AXISBANK-EQ,Ok,02-08-2023 09:15:00,1690947900,950.85,958.85,950.85,954.80,956.22,626641,0,626641,0
317,BAJAJ FINANCE LIMITED,BAJFINANCE,BAJFINANCE-EQ,Ok,02-08-2023 09:15:00,1690947900,7279.60,7280.00,7220.05,7230.00,7242.77,85819,0,85819,0
335,BALKRISHNA IND. LTD,BALKRISIND,BALKRISIND-EQ,Ok,02-08-2023 09:15:00,1690947900,2525.00,2528.45,2493.90,2500.85,2501.23,24376,0,24376,0
371,BATA INDIA LTD,BATAINDIA,BATAINDIA-EQ,Ok,02-08-2023 09:15:00,1690947900,1753.60,1754.95,1744.45,1753.55,1750.00,23382,0,23382,0
404,BERGER PAINTS (I) LTD,BERGEPAINT,BERGEPAINT-EQ,Ok,02-08-2023 09:15:00,1690947900,705.65,707.45,698.00,700.55,702.98,372450,0,372450,0
212,ASHOK LEYLAND LTD,ASHOKLEY,ASHOKLEY-EQ,Ok,02-08-2023 09:15:00,1690947900,185.55,186.00,184.50,185.05,185.46,2303553,0,2303553,0
17903,ABBOTT INDIA LIMITED,ABBOTINDIA,ABBOTINDIA-EQ,Ok,02-08-2023 09:15:00,1690947900,24036.40,24036.40,23865.20,23870.05,23930.03,609,0,609,0
21614,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,ABCAPITAL-EQ,Ok,02-08-2023 09:15:00,1690947900,195.35,195.35,193.20,194.05,194.11,353164,0,353164,0
11543,COFORGE LIMITED,COFORGE,COFORGE-EQ,Ok,02-08-2023 09:15:00,1690947900,4845.45,4845.45,4758.70,4783.00,4797.81,20989,0,20989,0
1901,CUMMINS INDIA LTD,CUMMINSIND,CUMMINSIND-EQ,Ok,02-08-2023 09:15:00,1690947900,1926.80,1926.80,1890.25,1895.00,1900.02,93648,0,93648,0
236,ASIAN PAINTS LIMITED,ASIANPAINT,ASIANPAINT-EQ,Ok,02-08-2023 09:15:00,1690947900,3339.95,3354.40,3332.00,3349.10,3345.24,61838,0,61838,0
25,ADANI ENTERPRISES LIMITED,ADANIENT,ADANIENT-EQ,Ok,02-08-2023 09:15:00,1690947900,2480.85,2501.00,2461.15,2493.50,2486.69,246116,0,246116,0
15083,ADANI PORT & SEZ LTD,ADANIPORTS,ADANIPORTS-EQ,Ok,02-08-2023 09:15:00,1690947900,766.20,771.15,758.85,770.60,766.39,470578,0,470578,0
16669,BAJAJ AUTO LIMITED,BAJAJ-AUTO,BAJAJ-AUTO-EQ,Ok,02-08-2023 09:15:00,1690947900,4919.95,4937.80,4910.75,4916.35,4923.94,22471,0,22471,0
10940,DIVI S LABORATORIES LTD,DIVISLAB,DIVISLAB-EQ,Ok,02-08-2023 09:15:00,1690947900,3636.85,3640.00,3591.00,3598.95,3602.91,73528,0,73528,0
1270,AMBUJA CEMENTS LTD,AMBUJACEM,AMBUJACEM-EQ,Ok,02-08-2023 09:15:00,1690947900,459.95,469.20,453.70,464.70,461.63,1927461,0,1927461,0
21690,DIXON TECHNO (INDIA) LTD,DIXON,DIXON-EQ,Ok,02-08-2023 09:15:00,1690947900,4136.65,4136.90,4105.75,4119.70,4121.03,12400,0,12400,0
157,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,APOLLOHOSP-EQ,Ok,02-08-2023 09:15:00,1690947900,5041.65,5043.70,4990.25,5004.00,5011.78,64575,0,64575,0
910,EICHER MOTORS LTD,EICHERMOT,EICHERMOT-EQ,Ok,02-08-2023 09:15:00,1690947900,3429.00,3429.90,3384.45,3387.25,3409.17,213098,0,213098,0
10099,GODREJ CONSUMER PRODUCTS,GODREJCP,GODREJCP-EQ,Ok,02-08-2023 09:15:00,1690947900,1021.65,1024.95,1016.40,1021.20,1021.94,72175,0,72175,0
1232,GRASIM INDUSTRIES LTD,GRASIM,GRASIM-EQ,Ok,02-08-2023 09:15:00,1690947900,1832.75,1834.60,1825.65,1828.55,1830.10,29361,0,29361,0
10599,GUJARAT GAS LIMITED,GUJGASLTD,GUJGASLTD-EQ,Ok,02-08-2023 09:15:00,1690947900,482.50,482.50,474.50,475.70,477.92,155898,0,155898,0
263,ATUL LTD,ATUL,ATUL-EQ,Ok,02-08-2023 09:15:00,1690947900,7180.00,7209.90,7135.05,7207.65,7170.96,20977,0,20977,0
7229,HCL TECHNOLOGIES LTD,HCLTECH,HCLTECH-EQ,Ok,02-08-2023 09:15:00,1690947900,1136.00,1137.00,1130.20,1131.95,1132.78,379575,0,379575,0
467,HDFC LIFE INS CO LTD,HDFCLIFE,HDFCLIFE-EQ,Ok,02-08-2023 09:15:00,1690947900,644.90,644.90,638.60,640.45,640.75,230185,0,230185,0
341,BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,BALRAMCHIN-EQ,Ok,02-08-2023 09:15:00,1690947900,407.00,410.50,405.60,409.25,408.86,179334,0,179334,0
2263,BANDHAN BANK LIMITED,BANDHANBNK,BANDHANBNK-EQ,Ok,02-08-2023 09:15:00,1690947900,226.50,226.65,224.10,224.70,225.39,1727540,0,1727540,0
422,BHARAT FORGE LTD,BHARATFORG,BHARATFORG-EQ,Ok,02-08-2023 09:15:00,1690947900,933.20,934.05,922.35,924.55,925.83,69809,0,69809,0
11957,IDFC LIMITED,IDFC,IDFC-EQ,Ok,02-08-2023 09:15:00,1690947900,119.75,120.00,118.65,119.50,119.38,1136665,0,1136665,0
10604,BHARTI AIRTEL LIMITED,BHARTIARTL,BHARTIARTL-EQ,Ok,02-08-2023 09:15:00,1690947900,884.95,889.95,884.95,888.35,887.69,177761,0,177761,0
438,BHEL,BHEL,BHEL-EQ,Ok,02-08-2023 09:15:00,1690947900,104.20,104.60,103.25,104.10,104.04,2013200,0,2013200,0
2181,BOSCH LIMITED,BOSCHLTD,BOSCHLTD-EQ,Ok,02-08-2023 09:15:00,1690947900,19000.05,19000.05,18741.00,18741.00,18811.48,4499,0,4499,0
526,BHARAT PETROLEUM CORP  LT,BPCL,BPCL-EQ,Ok,02-08-2023 09:15:00,1690947900,377.50,378.70,374.80,375.30,376.85,216583,0,216583,0
547,BRITANNIA INDUSTRIES LTD,BRITANNIA,BRITANNIA-EQ,Ok,02-08-2023 09:15:00,1690947900,4838.95,4838.95,4787.45,4805.00,4814.64,35479,0,35479,0
6994,BIRLASOFT LIMITED,BSOFT,BSOFT-EQ,Ok,02-08-2023 09:15:00,1690947900,431.80,431.80,427.00,428.75,429.56,217942,0,217942,0
11184,IDFC FIRST BANK LIMITED,IDFCFIRSTB,IDFCFIRSTB-EQ,Ok,02-08-2023 09:15:00,1690947900,88.20,88.25,87.20,87.75,87.70,3955296,0,3955296,0
583,CAN FIN HOMES LTD,CANFINHOME,CANFINHOME-EQ,Ok,02-08-2023 09:15:00,1690947900,738.50,743.40,735.30,739.30,739.75,117609,0,117609,0
1512,THE INDIAN HOTELS CO. LTD,INDHOTEL,INDHOTEL-EQ,Ok,02-08-2023 09:15:00,1690947900,395.95,396.35,393.70,395.50,395.07,189396,0,189396,0
685,CHOLAMANDALAM IN & FIN CO,CHOLAFIN,CHOLAFIN-EQ,Ok,02-08-2023 09:15:00,1690947900,1102.10,1116.30,1090.10,1110.90,1104.07,1289717,0,1289717,0
15141,COLGATE PALMOLIVE LTD.,COLPAL,COLPAL-EQ,Ok,02-08-2023 09:15:00,1690947900,2007.85,2007.85,1990.55,1996.40,1995.68,20045,0,20045,0
739,COROMANDEL INTERNTL. LTD,COROMANDEL,COROMANDEL-EQ,Ok,02-08-2023 09:15:00,1690947900,1037.15,1038.95,1031.10,1034.95,1033.76,22650,0,22650,0
17094,CROMPT GREA CON ELEC LTD,CROMPTON,CROMPTON-EQ,Ok,02-08-2023 09:15:00,1690947900,291.85,291.90,289.50,290.05,290.16,119673,0,119673,0
772,DABUR INDIA LTD,DABUR,DABUR-EQ,Ok,02-08-2023 09:15:00,1690947900,567.45,568.10,563.05,564.80,564.43,138895,0,138895,0
8075,DALMIA BHARAT LIMITED,DALBHARAT,DALBHARAT-EQ,Ok,02-08-2023 09:15:00,1690947900,1984.90,2008.00,1977.00,1994.70,1994.74,38096,0,38096,0
11195,INTERGLOBE AVIATION LTD,INDIGO,INDIGO-EQ,Ok,02-08-2023 09:15:00,1690947900,2573.95,2592.00,2561.10,2586.45,2581.73,65582,0,65582,0
19943,DEEPAK NITRITE LTD,DEEPAKNTR,DEEPAKNTR-EQ,Ok,02-08-2023 09:15:00,1690947900,2039.90,2039.90,2017.45,2026.50,2027.27,31661,0,31661,0
15044,DELTA CORP LIMITED,DELTACORP,DELTACORP-EQ,Ok,02-08-2023 09:15:00,1690947900,197.80,199.90,196.60,198.75,198.46,658439,0,658439,0
4668,BANK OF BARODA,BANKBARODA,BANKBARODA-EQ,Ok,02-08-2023 09:15:00,1690947900,200.85,200.85,198.00,198.40,199.39,2156007,0,2156007,0
14732,DLF LIMITED,DLF,DLF-EQ,Ok,02-08-2023 09:15:00,1690947900,495.00,495.60,489.35,492.45,491.65,1414307,0,1414307,0
1594,INFOSYS LIMITED,INFY,INFY-EQ,Ok,02-08-2023 09:15:00,1690947900,1371.05,1371.05,1361.40,1362.90,1365.67,652931,0,652931,0
881,DR. REDDY S LABORATORIES,DRREDDY,DRREDDY-EQ,Ok,02-08-2023 09:15:00,1690947900,5665.00,5695.85,5661.40,5679.10,5675.95,49635,0,49635,0
958,ESCORTS KUBOTA LIMITED,ESCORTS,ESCORTS-EQ,Ok,02-08-2023 09:15:00,1690947900,2569.00,2619.00,2531.00,2605.85,2591.58,391252,0,391252,0
10999,MARUTI SUZUKI INDIA LTD.,MARUTI,MARUTI-EQ,Ok,02-08-2023 09:15:00,1690947900,9710.00,9770.00,9631.00,9736.00,9714.99,69160,0,69160,0
1023,FEDERAL BANK LTD,FEDERALBNK,FEDERALBNK-EQ,Ok,02-08-2023 09:15:00,1690947900,134.30,134.50,133.85,134.00,134.14,1596374,0,1596374,0
10447,UNITED SPIRITS LIMITED,MCDOWELL-N,MCDOWELL-N-EQ,Ok,02-08-2023 09:15:00,1690947900,1018.00,1018.00,1008.45,1011.80,1012.42,47080,0,47080,0
4717,GAIL (INDIA) LTD,GAIL,GAIL-EQ,Ok,02-08-2023 09:15:00,1690947900,120.25,120.35,118.45,118.70,119.07,3067861,0,3067861,0
2142,MAX FINANCIAL SERV LTD,MFSL,MFSL-EQ,Ok,02-08-2023 09:15:00,1690947900,811.40,814.30,803.50,803.50,806.99,21298,0,21298,0
7406,GLENMARK PHARMACEUTICALS,GLENMARK,GLENMARK-EQ,Ok,02-08-2023 09:15:00,1690947900,785.35,791.70,779.15,779.15,784.48,66578,0,66578,0
13528,GMR AIRPORTS INFRA LTD,GMRINFRA,GMRINFRA-EQ,Ok,02-08-2023 09:15:00,1690947900,51.25,51.45,51.00,51.10,51.12,1042051,0,1042051,0
1174,GUJ NAR VAL FER & CHEM L,GNFC,GNFC-EQ,Ok,02-08-2023 09:15:00,1690947900,608.95,612.00,605.00,606.75,608.46,207559,0,207559,0
6364,NATIONAL ALUMINIUM CO LTD,NATIONALUM,NATIONALUM-EQ,Ok,02-08-2023 09:15:00,1690947900,96.05,96.05,94.00,94.30,94.67,1213673,0,1213673,0
2303,HINDUSTAN AERONAUTICS LTD,HAL,HAL-EQ,Ok,02-08-2023 09:15:00,1690947900,3865.95,3865.95,3807.85,3827.00,3827.16,114830,0,114830,0
9819,HAVELLS INDIA LIMITED,HAVELLS,HAVELLS-EQ,Ok,02-08-2023 09:15:00,1690947900,1320.10,1320.10,1308.55,1315.50,1312.92,44212,0,44212,0
1333,HDFC BANK LTD,HDFCBANK,HDFCBANK-EQ,Ok,02-08-2023 09:15:00,1690947900,1648.40,1651.25,1645.55,1649.30,1647.50,1418388,0,1418388,0
13751,INFO EDGE (I) LTD,NAUKRI,NAUKRI-EQ,Ok,02-08-2023 09:15:00,1690947900,4646.05,4654.20,4563.55,4609.60,4596.24,25393,0,25393,0
1348,HERO MOTOCORP LIMITED,HEROMOTOCO,HEROMOTOCO-EQ,Ok,02-08-2023 09:15:00,1690947900,3061.20,3065.00,3021.95,3057.65,3049.01,320409,0,320409,0
1363,HINDALCO  INDUSTRIES  LTD,HINDALCO,HINDALCO-EQ,Ok,02-08-2023 09:15:00,1690947900,459.65,459.65,455.65,456.70,456.97,707232,0,707232,0
17939,HINDUSTAN COPPER LTD,HINDCOPPER,HINDCOPPER-EQ,Ok,02-08-2023 09:15:00,1690947900,150.50,152.50,148.80,150.50,150.89,4189123,0,4189123,0
1406,HINDUSTAN PETROLEUM CORP,HINDPETRO,HINDPETRO-EQ,Ok,02-08-2023 09:15:00,1690947900,285.60,285.60,280.00,280.75,281.38,684569,0,684569,0
30125,INDIABULLS HSG FIN LTD,IBULHSGFIN,IBULHSGFIN-EQ,Ok,02-08-2023 09:15:00,1690947900,141.65,149.00,141.50,148.80,146.41,8074369,0,8074369,0
21770,ICICI LOMBARD GIC LIMITED,ICICIGI,ICICIGI-EQ,Ok,02-08-2023 09:15:00,1690947900,1368.00,1368.00,1352.15,1365.45,1360.68,24700,0,24700,0
18652,ICICI PRU LIFE INS CO LTD,ICICIPRULI,ICICIPRULI-EQ,Ok,02-08-2023 09:15:00,1690947900,572.95,576.55,572.05,575.65,574.55,117642,0,117642,0
220,INDIAN ENERGY EXC LTD,IEX,IEX-EQ,Ok,02-08-2023 09:15:00,1690947900,128.00,128.20,126.80,127.90,127.69,2311893,0,2311893,0
11262,INDRAPRASTHA GAS LTD,IGL,IGL-EQ,Ok,02-08-2023 09:15:00,1690947900,460.45,462.35,457.05,457.80,459.36,144623,0,144623,0
1515,THE INDIA CEMENTS LIMITED,INDIACEM,INDIACEM-EQ,Ok,02-08-2023 09:15:00,1690947900,218.65,222.40,217.95,221.15,220.46,658485,0,658485,0
10726,INDIAMART INTERMESH LTD,INDIAMART,INDIAMART-EQ,Ok,02-08-2023 09:15:00,1690947900,3127.95,3129.00,3088.00,3090.35,3108.40,13861,0,13861,0
29135,INDUS TOWERS LIMITED,INDUSTOWER,INDUSTOWER-EQ,Ok,02-08-2023 09:15:00,1690947900,173.50,173.50,172.00,172.15,172.64,348290,0,348290,0
1624,INDIAN OIL CORP LTD,IOC,IOC-EQ,Ok,02-08-2023 09:15:00,1690947900,94.30,94.65,94.10,94.30,94.40,1631532,0,1631532,0
1633,IPCA LABORATORIES LTD,IPCALAB,IPCALAB-EQ,Ok,02-08-2023 09:15:00,1690947900,899.95,902.25,891.05,893.15,895.26,50562,0,50562,0
13611,INDIAN RAIL TOUR CORP LTD,IRCTC,IRCTC-EQ,Ok,02-08-2023 09:15:00,1690947900,644.00,644.25,640.05,640.85,641.71,86810,0,86810,0
10738,ORACLE FIN SERV SOFT LTD.,OFSS,OFSS-EQ,Ok,02-08-2023 09:15:00,1690947900,3862.30,3876.60,3845.75,3865.35,3859.89,3174,0,3174,0
14413,PAGE INDUSTRIES LTD,PAGEIND,PAGEIND-EQ,Ok,02-08-2023 09:15:00,1690947900,38650.00,38665.35,38250.00,38339.00,38372.17,2064,0,2064,0
13270,JK CEMENT LIMITED,JKCEMENT,JKCEMENT-EQ,Ok,02-08-2023 09:15:00,1690947900,3274.45,3274.45,3241.35,3258.85,3252.40,3331,0,3331,0
